Recnum,SalesTaxIdno,Name,Rate,QBItemSalesTaxListID
1,1,Albert Lea,7.375,8000039E-1400608225
2,2,Austin,7.375,8000039F-1400608238
3,3,Baxter,7.375,800003A0-1400608254
4,4,Beltrami County,7.375,800003A1-1400608312
5,5,Bemidiji,7.875,800003A2-1400608337
6,6,Brainerd,7.375,800003A3-1400608358
7,7,Clearwater,7.375,800003A5-1400608412
8,8,Cloquet,7.375,800003A6-1400608525
9,9,Cook County,7.875,800003A9-1400608601
10,10,Duluth,7.875,800003A7-1400608539
11,11,Fergus Falls,7.375,800003A8-1400608554
12,12,Hennepin County,7.275,800003AA-1400608715
13,13,Hermantown,7.875,800003AB-1400608781
14,14,Hutchinson,7.375,800003AC-1400608811
15,15,Lanesboro,7.375,800003AD-1400608827
16,16,Mankato,7.375,800003AE-1400608843
17,17,Marshall,7.375,800003AF-1400608865
18,18,Medford,7.375,800003B0-1400608889
19,19,Minneapolis,7.775,800003B1-1400608927
20,20,MN Sales Tax,6.875,800003A4-1400608378
21,21,New Ulm,7.375,800003B2-1400608968
22,22,North Mankato,7.375,800003B3-1400608981
23,23,Olmstead County,7.125,800003B4-1400609009
24,24,Proctor,7.375,800003B5-1400609048
25,25,Rice County,7.375,800003B6-1400609064
26,26,Rochester,7.625,800003B7-1400609086
27,27,St. Cloud,7.375,800003B8-1400609104
28,28,St. Paul,7.625,800003B9-1400609127
29,29,Tax Exempt,0,800003BF-1400614882
30,30,Transit  Area,7.125,800003BA-1400609202
31,31,Two Harbors,7.375,800003BB-1400609244
32,32,Wadena County,7.375,800003BC-1400609260
33,33,Worthington,7.375,800003BD-1400609294
